Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.0557ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4508ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 46.7975ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9343ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 49.1464ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.1254ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6733ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6854ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7182ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 48.1363ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8136ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 48.0199ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6895ms
Jul 12 21:55:46 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9532ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5589ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7329ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5631ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7366ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.754ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 48.178ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.772ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7309ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.621ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8214ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9359ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9992ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6482ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8639ms
Jul 12 21:55:47 jetson-orin-nano cuda_detect[1350962]: detection time = 48.1112ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9011ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 48.1891ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6726ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8652ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8222ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5472ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6919ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6792ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6265ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8476ms
Jul 12 21:55:48 jetson-orin-nano cuda_detect[1350962]: cuda_detect closing
